Time,transforms
1671120606.8840406,"[header: 
  seq: 0
  stamp: 
    secs: 1671119610
    nsecs: 439511646
  frame_id: ""world""
child_frame_id: ""panda_link0""
transform: 
  translation: 
    x: 0.0
    y: 0.0
    z: 0.0
  rotation: 
    x: 0.0
    y: 0.0
    z: 0.0
    w: 1.0]"
1671120606.8849514,"[header: 
  seq: 0
  stamp: 
    secs: 1671120534
    nsecs:  98742034
  frame_id: ""panda_link8""
child_frame_id: ""frankastein_instrument_link""
transform: 
  translation: 
    x: 0.0
    y: 0.0
    z: 0.085
  rotation: 
    x: 0.0
    y: 0.0
    z: 0.0
    w: 1.0, header: 
  seq: 0
  stamp: 
    secs: 1671120534
    nsecs:  98753147
  frame_id: ""panda_link7""
child_frame_id: ""panda_link8""
transform: 
  translation: 
    x: 0.0
    y: 0.0
    z: 0.107
  rotation: 
    x: 0.0
    y: 0.0
    z: 0.0
    w: 1.0]"
